ASSET_NAME,TYPE,AMENITIES,Latitude,Longitude
REGENT PARK BOULEVARD PARK,Park,,43.6597723576708,-79.3613767297993
SCARBOROUGH VILLAGE PARK,Park,"Ball Diamond, Playground, Sports Field, Washroom",43.7466004543831,-79.2129735464339
MAIDAVALE PARK,Park,"Ball Diamond, Playground",43.7330608402981,-79.2778211629024
SERENA GUNDY PARK,Park,"Picnic Site, Washroom",43.7186413080202,-79.3565959775629
STRATHBURN PARK,Park,"Ball Diamond, Outdoor Dry Pad, Pickleball Court, Playground, Tennis Court",43.7221408612384,-79.5327912234411
GAMBLE PLAYGROUND,Park,Playground,43.6911086139533,-79.3470192775811
FINCH - HUMBERLINE SPORTSFIELDS,Park,Sports Field,43.7334092855006,-79.616675823199
GREENBELT PARK,Park,Playground,43.7305092156199,-79.3341671135273
SMYTHE PARK,Park,"Ball Diamond, Picnic Site, Playground, Washroom",43.6745950041596,-79.499501160714
ZORRA PARK,Park,Dog Off-Leash Area,43.6204079498153,-79.5220549442761
AMESBURY PARK,Park,"Ball Diamond, Basketball Court, Outdoor Dry Pad, Pickleball Court, Playground, Sports Field, Tennis Court",43.7061864960735,-79.4834224926156
CHARLES SAURIOL CONSERVATION AREA,Park,"Outdoor Fitness Equipment, Playground",43.7140923134576,-79.3220418644622
PHIL GIVENS PARK,Park,Playground,43.7191672971642,-79.4208601838189
VILLAGE OF YORKVILLE PARK,Park,,43.6699698590959,-79.3918046096295
BRISTOL AVENUE PARKETTE WEST,Park,Playground,43.6705808906291,-79.4387998452995
JAMES GARDENS,Park,Washroom,43.67074361962,-79.5152961398092
KNIGHTSWOOD RD PARK,Park,,43.7396696539249,-79.3908871798528
HORTON PARK,Park,"Playground, Sports Field",43.7363652560111,-79.2428008797477
BEN NOBLEMAN PARK,Park,Playground,43.698473108678,-79.4352115755479
FOUR OAKS GATE PARK,Park,Playground,43.6968399375026,-79.3375619545613
CASTLEFIELD PARKETTE,Park,,43.7065176581847,-79.4242294874234
MILLSTONE PARKETTE,Park,,43.7386177315777,-79.4007175408464
BEATY AVENUE PARKETTE,Park,Playground,43.6384074261191,-79.4410883826551
DUFFERIN - KING PARK,Park,Playground,43.637976069311,-79.4275067408404
JOSEPH WORKMAN PARK,Park,Playground,43.6419809673351,-79.4171416016806
20 CASTLEFIELD AVE PARK,Park,"Basketball Court, Pickleball Court",43.7119116356127,-79.4007127701497
LAKEVIEW AVENUE PARKETTE,Park,,43.6495995325778,-79.4229135488179
CHRISTIE PITS PARK,Park,"Ball Diamond, Basketball Court, Firepit, Outdoor Ping Pong/Table Tennis, Pickleball Court, Picnic Site, Playground, Skateboarding, Sports Field, Washroom",43.6646698181675,-79.4207936079461
BRISTOL AVENUE PARKETTE EAST,Park,,43.6705050425206,-79.4376782178605
PRINCESS MARGARET PARK,Park,Playground,43.6665760523808,-79.5432077129239
HIDEAWAY PARK,Park,"Dog Off-Leash Area, Outdoor Dry Pad, Playground",43.664705490514,-79.3379559868594
HARTFIELD COURT PARKETTE,Park,,43.6673897157149,-79.5236394925598
SIMCOE PARK,Park,,43.6447416909588,-79.3868440327855
THOMPSON STREET PARKETTE,Park,Dog Off-Leash Area,43.6592997621551,-79.3506172603787
NORTHEND PARKETTE,Park,,43.70669182829,-79.5326002146941
WINCOTT PARK,Park,"Outdoor Ping Pong/Table Tennis, Playground",43.6928146971395,-79.5513850692935
SENATOR PETER BOSA PARKETTE,Park,,43.694422490823,-79.4453560037414
MOORE PARK RAVINE,Park,,43.6913025287848,-79.3723791039557
GREEN HILLS PARK,Park,,43.6947769071944,-79.479011194583
BATHURST QUAY COMMON,Park,,43.6346634822841,-79.3964490027904
CLIFF LUMSDON PARK,Park,,43.5951691707448,-79.5014703846029
TORONTO MUSIC GARDEN,Park,,43.6369633806304,-79.3942170960435
GREENFIELD PARK,Park,"Outdoor Fitness Equipment, Playground",43.6386079364056,-79.5449291283973
