Name,Latitude,Longitude
FARS Medical Pharmacy,43.777558,-79.3113848
Main Drug Mart,43.7043896,-79.3498982
Vita Pharmacy,43.6526297,-79.3988314
Shoppers Drug Mart,43.7579845,-79.3112878
West King Pharmacy,43.7021326,-79.5224919
Renforth IDA Pharmacy,43.6506452,-79.5803342
I.D.A.,43.7209109,-79.6144696
Guardian,43.6326454,-79.5447328
Pharmasave,43.6492142,-79.5487522
Terrace Square Pharmacy,43.7502954,-79.5427024
Shoppers Drug Mart,43.6880294,-79.3032774
PharmaChoice,43.6675247,-79.3694974
SR Pharmacy,43.6095526,-79.5472161
St. Lawrence Pharmacy,43.6495194,-79.3676547
Trinity Drug Store,43.6519941,-79.4068669
Main Drug Mart,43.6606184,-79.3662373
Demarco Pharmacy,43.7081445,-79.4781924
White's Pharmacy,43.670509,-79.4930844
I.D.A.,43.7454105,-79.3461328
Rexall,43.768666,-79.1871797
Don Mills + Lawrence Pharmacy,43.7358581,-79.3472758
Health Shield Pharmacy,43.6565593,-79.3563957
Broadon Pharmacy,43.665581,-79.3514644
Walmart Pharmacy,43.7771075,-79.2588702
Kingsway Drugs,43.6703022,-79.391627
PharmaChoice,43.7010611,-79.5109697
Pharmasave,43.7004448,-79.5165659
Loblaw Pharmacy,43.7778917,-79.2631028
Midland/Eglinton Pharmacy,43.7344361,-79.2572459
Shoppers Drug Mart,43.6431093,-79.4058905
Albion Medical Pharmacy,43.7348001,-79.55905
Rathburn Healthplex PharmaCare,43.6532175,-79.5729848
Stanley Life Care Pharmacy,43.7432277,-79.5144546
Emerge Pharmacy,43.6533999,-79.3985407
Rexall,43.6531278,-79.3978246
Guardian,43.642592,-79.4259855
Rexall,43.6680923,-79.4408829
I.D.A.,43.5899635,-79.5450666
Remedy'sRx,43.7518946,-79.261229
Broadview Medical Pharmacy,43.6758147,-79.3581875
Bloordale Pharmacy,43.6586467,-79.4420394
Ultra Bloor Pharmacy,43.6589671,-79.4403523
Pharmasave,43.6413074,-79.5384056
Shoppers Drug Mart,43.700295,-79.4278599
Rexall,43.700423,-79.4272015
Cabbagetown Pharmacy,43.6640802,-79.3682482
Brimley Pharmacy,43.8103727,-79.2798248
Rexall,43.6494215,-79.5284106
I.D.A.,43.6806754,-79.2828786
Main Drug Mart,43.6901438,-79.2876943
JC Pharmacy,43.7537334,-79.4879506
Finch Discount Pharmacy,43.8008112,-79.3000473
Remedy'sRx,43.8008974,-79.3001023
Shoppers Drug Mart,43.7140327,-79.3778989
Rexall,43.7257371,-79.4835666
Metro Drugs,43.7898221,-79.3935986
Shoppers Drug Mart,43.7745211,-79.5009839
Well + Good Pharmacy,43.667277,-79.38146
The Palmerston Pharmacy & HomeCare,43.6559146,-79.4096045
College Pharmacy II,43.6559765,-79.4109096
Remedy'sRx,43.6654874,-79.4626692
Junction Chemist,43.6656358,-79.4745133
Walk In Clinic Westside Pharmacy,43.6920772,-79.4674145
Danforth Central Walk-In Clinic & Pharmacy,43.6815864,-79.332625
Medi Plus Pharmacy,43.7370673,-79.5658425
College Medical Pharmacy,43.6563417,-79.4091983
St.Michael's Drug Mart,43.6553282,-79.4127287
Mister Pharmacist,43.6563459,-79.3882748
MedsEXPERT Pharmacy,43.6642416,-79.3801873
Ottway Herbs & Vitamins,43.6640386,-79.3801213
The Village Pharmacy,43.6645281,-79.3803066
I.D.A.,43.6637153,-79.3675687
Pharmacia Drugs,43.7563623,-79.5190161
Citrus Pharmacy,43.62783,-79.5029513
Shoppers Drug Mart,43.6452279,-79.3968824
