NAME,ADDRESS_FULL,BOARD_NAME,SCHOOL_TYPE_DESC,Latitude,Longitude
YORK MEMORIAL COLLEGIATE INSTITUTE (UNDER CONSTRUCTION),2690 Eglinton Ave W,Toronto District School Board,English Public,43.6902787238341,-79.4762398021686
YORK MILLS COLLEGIATE INSTITUTE,490 York Mills Rd,Toronto District School Board,English Public,43.7515290541848,-79.3735238955731
YORK U - GLENDON CAMPUS ,2275 Bayview Ave,,University,43.7271679611472,-79.3780603009885
YORK U - KEELE CAMPUS,4700 Keele St,,University,43.7734100899864,-79.5023381683704
YORKDALE SECONDARY SCHOOL & ADULT LEARNING CENTRE,38 Orfus Rd,Toronto District School Board,English Public,43.7201620650265,-79.4597250980034
YORKLAND HIGH SCHOOL,3840 Finch Ave E,,Private,43.8006150838616,-79.3013419576388
YORKVIEW PUBLIC SCHOOL,130 YORKVIEW DR ,Toronto District School Board,English Public,43.7725736106375,-79.4355664221908
YORKWOODS PUBLIC SCHOOL,25 Yorkwoods Gt,Toronto District School Board,English Public,43.7506598381465,-79.5138847463308
Z3 EDUCATION CENTRE SCHOOL,1200 Markham Rd,,Private,43.7768587021679,-79.2325583921281
ZION HEIGHTS JR HIGH SCHOOL,5900 Leslie St,Toronto District School Board,English Public,43.7979149025647,-79.3710972374637
