Name,Cuisine,Latitude,Longitude
Pita Ikram,,43.7676151,-79.4749535
Mia Brunch Bar,breakfast,43.70363,-79.3978817
Amico Eatery,italian;pizza;dessert;coffee_shop,43.7010438,-79.396943
Boston Pizza,pizza,43.7578966,-79.4659762
Cucina Italian Cafe,italian,43.7744587,-79.501574
Hana Don,,43.6556657,-79.3845852
You Don Ya,japanese,43.655759,-79.3841891
Shogun Japanese Restaurant & Sushi Bar,japanese,43.669947,-79.393286
Crown & Dragon Restaurant,,43.6734961,-79.3882705
Capocaccia,italian,43.6859327,-79.3934012
Tamasha,indian,43.6967649,-79.3960141
Happy Burger,,43.6743768,-79.3880493
Pantry,,43.6782804,-79.390241
Carens Rosedale,,43.6789031,-79.3904893
Swiss Chalet,chicken,43.6895742,-79.3948974
Lee Chen Asian Bistro,chinese,43.6723681,-79.3874757
Armando's Authentic Italian Cuisine,italian,43.7628999,-79.4116255
Moxie's,bar_and_grill,43.764853,-79.412275
Cafe Palma,,43.7685382,-79.4136639
Sushi One,sushi,43.7644121,-79.4120288
Tandoori House Indian Cuisine,indian,43.7628093,-79.4115923
Lee Namjang Korean Restaurant,korean,43.7625054,-79.4114628
Pangaea,,43.670135,-79.389429
Naan Kabob,afghan;mediterranean,43.6690321,-79.3861122
Ginger Vietnamese Cuisine,vietnamese,43.6690975,-79.3861328
all@ne,,43.6689633,-79.3860793
Chaska Indian Street Food Obsession,indian,43.7744849,-79.501463
Sushi Garden,japanese,43.664646,-79.384955
GBF Gourmet Burger Co.,,43.6684821,-79.3867566
Sushi Club,sushi,43.66812,-79.387722
Okonomi House,japanese,43.668133,-79.387207
Exotic Tandoori,,43.6684706,-79.3868618
MIMI Chinese,chinese,43.6742363,-79.3982846
GoGrill,,43.6578226,-79.3995785
Goa Kitchen,indian,43.7683578,-79.3863323
Pearl Bayview,chinese,43.7684461,-79.3862454
Lola Sushi,sushi,43.701932,-79.3975357
Constantine,italian,43.668546,-79.385369
O Noir,,43.6692398,-79.3826036
Sushi Time,sushi,43.6495998,-79.3918114
Holy Cow Steakhouse,,43.6499205,-79.3913965
Hey Lucy's Wood Oven Pizza,pizza,43.6463831,-79.3900915
Mado,,43.6512107,-79.378962
Miznon,,43.6704691,-79.3896094
Ramyun Korean Snack Bar,korean,43.7038384,-79.3979194
Tabülè,middle_eastern,43.70091,-79.3969212
Lala Spicy Lab,chinese,43.6588583,-79.3942407
Dear Saigon,vietnamese,43.6588273,-79.3943877
Asian Bowl,,43.6553804,-79.3803339
555 Boat Noodles,thai;noodle,43.663058,-79.3841311
Jeff’s Kitchen,,43.6978994,-79.3887469
Petit Potato,,43.6664187,-79.3874798
St. Louis Bar & Grill,chicken,43.6565251,-79.382802
KAKA All You Can Eat,japanese;sushi,43.6575176,-79.384124
Bom Bibimbap,,43.6585272,-79.3852068
Cantaritos,mexican,43.6595906,-79.4350242
Remezzo,,43.777633,-79.30791
Eggsmart,breakfast,43.727503,-79.2871836
Chokka Persian Cuisine,,43.7049538,-79.3885922
Sushi Supreme,,43.7018855,-79.3873235
Pita Lite,,43.6873484,-79.3939854
Java House,,43.647833,-79.399745
Juicy Dumpling,chinese,43.7037294,-79.3979055
Evivva Restaurant Breakfast & Lunch,,43.7711954,-79.4130989
Tokyo Sushi,sushi,43.66561,-79.387169
Sushi Kiwami,sushi,43.6664232,-79.385006
Rusty Bull Taco Co.,mexican,40.458772,-80.6062178
New Golden House,chinese,40.4594067,-80.6062651
King's Noodle Restaurant,chinese,43.653053,-79.398397
