price,list_price,sold_price,home_type,home_type_bucket,neighbourhood,latitude,longitude,bedrooms,bedrooms_plus,bathrooms,estimated_area_sqft,Distance_to_School,Distance_to_Hospital,Distance_to_Park,Distance_to_Library,Distance_to_Bank,Distance_to_Pharmacy,Distance_to_Grocery,Distance_to_Subway,Restaurants_Within_1km,Parks_Within_2km,Schools_Within_2km,_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID,Neighbourhood
1280000.0,1280000.0,1280000.0,HOUSE,HOUSE,Playter Estates Danforth,43.6783394,-79.3507144,3,0,2,1750.0,156.18,1366.8,33.57,493.51,75.12,234.93,197.65,145.28,71,55,35,89,2502278,26022793,,67,67,Playter Estates-Danforth,Playter Estates-Danforth (67),Not an NIA or Emerging Neighbourhood,,17826145.0,Playter Estates-Danforth
1235000.0,1235000.0,1235000.0,HOUSE,HOUSE,Junction Area,43.6662941,-79.4794374,3,0,2,1300.0,693.03,233.28,99.21,970.48,437.76,402.78,367.35,1645.93,47,57,37,67,2502300,26022815,,90,90,Junction Area,Junction Area (90),Not an NIA or Emerging Neighbourhood,,17825793.0,Junction Area
1245500.0,1245500.0,1245500.0,HOUSE,HOUSE,Wychwood,43.6809687,-79.4213376,2,1,1,3250.0,490.91,594.39,115.69,334.86,209.98,167.93,379.35,660.58,39,72,49,64,2502303,26022818,,94,94,Wychwood,Wychwood (94),Not an NIA or Emerging Neighbourhood,,17825745.0,Wychwood
1269000.0,1269000.0,1269000.0,HOUSE,HOUSE,Danforth,43.680884,-79.3434283,3,0,2,1300.0,495.1,1796.43,161.68,268.52,243.84,155.57,268.8,159.86,73,56,37,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
1268000.0,1268000.0,1268000.0,HOUSE,HOUSE,Lawrence Park North,43.7260457,-79.4043419,2,2,2,900.0,162.05,2479.06,208.14,244.63,186.4,132.82,129.4,153.8,18,43,28,54,2502313,26022828,,105,105,Lawrence Park North,Lawrence Park North (105),Not an NIA or Emerging Neighbourhood,,17825585.0,Lawrence Park North
1299000.0,1299000.0,1299000.0,HOUSE,HOUSE,Danforth,43.6820654,-79.3323607,5,0,2,1750.0,163.47,1060.25,380.35,897.12,735.12,57.35,306.81,177.25,43,53,39,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
1220000.0,1220000.0,1220000.0,HOUSE,HOUSE,Danforth,43.6825547,-79.3296941,4,1,3,1750.0,209.27,906.36,354.35,676.22,513.98,259.12,114.59,45.93,41,56,40,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
1299000.0,1299000.0,1299000.0,HOUSE,HOUSE,Corso Italia Davenport,43.6766195,-79.4427983,3,1,2,1300.0,104.58,2196.14,259.67,53.48,169.45,38.68,831.43,1913.91,45,60,38,65,2502302,26022817,,92,92,Corso Italia-Davenport,Corso Italia-Davenport (92),Not an NIA or Emerging Neighbourhood,,17825761.0,Corso Italia-Davenport
1299000.0,1299000.0,1299000.0,HOUSE,HOUSE,Danforth,43.6808288,-79.3433955,3,0,2,1300.0,494.19,1797.7,157.47,263.72,240.32,155.16,265.65,157.84,73,56,37,90,2502277,26022792,,66,66,Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,,17826161.0,Danforth
1249999.0,1249999.0,1249999.0,HOUSE,HOUSE,Blake Jones,43.676318,-79.3383887,4,1,4,900.0,140.35,1708.27,176.02,560.57,595.03,452.21,439.15,525.79,69,66,42,87,2502280,26022795,,69,69,Blake-Jones,Blake-Jones (69),Not an NIA or Emerging Neighbourhood,,17826113.0,Blake-Jones
